date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:25:40	9775/9775	---M--	200	added ('OK')	text/html	date:Tue,%2018%20Oct%202022%2004:25:40%20GMT	http://192.168.56.1:8000/index.html	C:/My%20Website%20Simple%20Skor%20Bola/Website%20Simple%20Skor%20Bola/192.168.56.1_8000/index.html	(from )
11:25:45	35/35	---M--	404	error ('Not%20Found')	text/plain	date:Tue,%2018%20Oct%202022%2004:25:45%20GMT	http://192.168.56.1:8000/robots.txt		(from )
11:25:45	202704/202704	---M--	200	added ('OK')	text/css	date:Tue,%2018%20Oct%202022%2004:25:45%20GMT	http://192.168.56.1:8000/bootstrap/css/bootstrap.min.css	C:/My%20Website%20Simple%20Skor%20Bola/Website%20Simple%20Skor%20Bola/192.168.56.1_8000/bootstrap/css/bootstrap.min.css	(from http://192.168.56.1:8000/index.html)
11:25:47	31000/31000	---M--	200	added ('OK')	text/css	date:Tue,%2018%20Oct%202022%2004:25:46%20GMT	http://192.168.56.1:8000/fonts/font-awesome.min.css	C:/My%20Website%20Simple%20Skor%20Bola/Website%20Simple%20Skor%20Bola/192.168.56.1_8000/fonts/font-awesome.min.css	(from http://192.168.56.1:8000/index.html)
11:25:48	3609/3609	---M-Z	200	added ('OK')	text/css	etag:%225eb03d72-e19%22	https://cdnjs.cloudflare.com/ajax/libs/baguettebox.js/1.11.1/baguetteBox.min.css	C:/My%20Website%20Simple%20Skor%20Bola/Website%20Simple%20Skor%20Bola/cdnjs.cloudflare.com/ajax/libs/baguettebox.js/1.11.1/baguetteBox.min.css	(from http://192.168.56.1:8000/index.html)
11:25:57	48101/48101	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20Oct%202022%2004:25:49%20GMT	http://192.168.56.1:8000/fullsize/2.jpg	C:/My%20Website%20Simple%20Skor%20Bola/Website%20Simple%20Skor%20Bola/192.168.56.1_8000/fullsize/2.jpg	(from http://192.168.56.1:8000/index.html)
11:25:59	63788/63788	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20Oct%202022%2004:25:48%20GMT	http://192.168.56.1:8000/fullsize/1.jpg	C:/My%20Website%20Simple%20Skor%20Bola/Website%20Simple%20Skor%20Bola/192.168.56.1_8000/fullsize/1.jpg	(from http://192.168.56.1:8000/index.html)
11:26:07	48228/48228	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20Oct%202022%2004:25:59%20GMT	http://192.168.56.1:8000/fullsize/3.jpg	C:/My%20Website%20Simple%20Skor%20Bola/Website%20Simple%20Skor%20Bola/192.168.56.1_8000/fullsize/3.jpg	(from http://192.168.56.1:8000/index.html)
11:26:56	426191/426191	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20Oct%202022%2004:25:48%20GMT	http://192.168.56.1:8000/header.jpg	C:/My%20Website%20Simple%20Skor%20Bola/Website%20Simple%20Skor%20Bola/192.168.56.1_8000/header.jpg	(from http://192.168.56.1:8000/index.html)
11:26:56	305168/305168	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20Oct%202022%2004:26:07%20GMT	http://192.168.56.1:8000/thumbnails/ryan-klaus-f_NmJkZJTtc-unsplash.jpg	C:/My%20Website%20Simple%20Skor%20Bola/Website%20Simple%20Skor%20Bola/192.168.56.1_8000/thumbnails/ryan-klaus-f_NmJkZJTtc-unsplash.jpg	(from http://192.168.56.1:8000/index.html)
11:27:00	393945/393945	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20Oct%202022%2004:25:57%20GMT	http://192.168.56.1:8000/thumbnails/braden-hopkins-pjENIdeds5c-unsplash.jpg	C:/My%20Website%20Simple%20Skor%20Bola/Website%20Simple%20Skor%20Bola/192.168.56.1_8000/thumbnails/braden-hopkins-pjENIdeds5c-unsplash.jpg	(from http://192.168.56.1:8000/index.html)
11:27:04	467191/467191	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20Oct%202022%2004:25:49%20GMT	http://192.168.56.1:8000/thumbnails/braden-hopkins-Nlpn996Yksg-unsplash.jpg	C:/My%20Website%20Simple%20Skor%20Bola/Website%20Simple%20Skor%20Bola/192.168.56.1_8000/thumbnails/braden-hopkins-Nlpn996Yksg-unsplash.jpg	(from http://192.168.56.1:8000/index.html)
